Temperature,Humidity,Comfort Level
-5.79,86.96,"Too cold, please turn the heating on. "
6.12,13.56,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
33.63,22.72,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-1.2,28.67,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
34.04,92.94,"Extreme danger! High temperature, please stay indoor until sunset! "
31.13,12.99,"Too dry, suggest use of moist lotion. Caution! High temperature. "
44.23,3.22,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
29.66,70.25,Extreme caution! High temperature. 
-17.45,50.94,"Too cold, please turn the heating on. "
34.16,15.81,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-0.17,83.97,"Too cold, please turn the heating on. "
9.24,63.95,"Too cold, please turn the heating on. "
48.97,65.74,"Extreme danger! High temperature, please stay indoor until sunset! "
21.56,48.07,Normal.
46.81,76.83,"Extreme danger! High temperature, please stay indoor until sunset! "
17.71,59.06,Normal.
-14.1,29.04,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
42.98,5.83,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-13.1,86.34,"Too cold, please turn the heating on. "
38.9,41.31,"Danger! High temperature, please avoid outdoor activities. "
-19.69,7.69,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
20.14,60.18,Normal.
-6.56,87.33,"Too cold, please turn the heating on. "
-0.39,88.83,"Too cold, please turn the heating on. "
19.9,75.59,Normal.
43.53,46.38,"Extreme danger! High temperature, please stay indoor until sunset! "
-17.49,51.46,"Too cold, please turn the heating on. "
-14.53,74.91,"Too cold, please turn the heating on. "
31.51,41.46,Caution! High temperature. 
-3.2,85.45,"Too cold, please turn the heating on. "
18.6,24.86,Normal.
-3.24,60.68,"Too cold, please turn the heating on. "
17.34,57.88,Normal.
-13.56,63.32,"Too cold, please turn the heating on. "
34.82,63.67,"Danger! High temperature, please avoid outdoor activities. "
10.6,59.02,"Too cold, please turn the heating on. "
-3.81,97.16,"Too cold, please turn the heating on. "
3.9,29.55,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
45.37,50.67,"Extreme danger! High temperature, please stay indoor until sunset! "
49.06,35.64,"Extreme danger! High temperature, please stay indoor until sunset! "
30.3,33.12,Caution! High temperature. 
-9.9,44.24,"Too cold, please turn the heating on. "
46.75,10.66,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
15.46,55.59,Normal.
1.77,20.31,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
49.79,51.37,"Extreme danger! High temperature, please stay indoor until sunset! "
33.39,76.37,"Danger! High temperature, please avoid outdoor activities. "
39.79,96.88,"Extreme danger! High temperature, please stay indoor until sunset! "
-8.88,95.4,"Too cold, please turn the heating on. "
-16.17,7.13,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
32.01,51.72,Extreme caution! High temperature. 
27.54,9.2,"Too dry, suggest use of moist lotion. "
0.23,56.57,"Too cold, please turn the heating on. "
6.75,15.77,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
1.78,65.45,"Too cold, please turn the heating on. "
-15.02,53.2,"Too cold, please turn the heating on. "
37.05,90.24,"Extreme danger! High temperature, please stay indoor until sunset! "
29.72,73.78,Extreme caution! High temperature. 
23.74,93.13,Normal.
-6.2,80.0,"Too cold, please turn the heating on. "
36.26,97.52,"Extreme danger! High temperature, please stay indoor until sunset! "
-3.47,22.86,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
32.31,93.12,"Danger! High temperature, please avoid outdoor activities. "
47.69,62.0,"Extreme danger! High temperature, please stay indoor until sunset! "
32.2,60.76,Extreme caution! High temperature. 
-18.62,41.86,"Too cold, please turn the heating on. "
45.19,20.78,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
22.61,73.26,Normal.
2.93,74.02,"Too cold, please turn the heating on. "
8.6,66.81,"Too cold, please turn the heating on. "
28.23,26.88,"Too dry, suggest use of moist lotion. Caution! High temperature. "
18.66,48.2,Normal.
-5.95,7.2,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
38.86,99.0,"Extreme danger! High temperature, please stay indoor until sunset! "
-14.42,51.07,"Too cold, please turn the heating on. "
8.38,36.09,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-14.84,1.33,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
44.49,33.33,"Extreme danger! High temperature, please stay indoor until sunset! "
39.2,97.78,"Extreme danger! High temperature, please stay indoor until sunset! "
29.31,46.77,Caution! High temperature. 
26.49,7.19,Normal.
-6.74,3.12,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
48.94,32.13,"Extreme danger! High temperature, please stay indoor until sunset! "
16.22,40.15,Normal.
28.47,0.51,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-15.73,69.66,"Too cold, please turn the heating on. "
-8.28,37.84,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
27.62,88.18,Extreme caution! High temperature. 
18.8,78.92,Normal.
-7.81,5.56,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
8.82,33.24,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
32.4,14.88,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-7.11,90.05,"Too cold, please turn the heating on. "
17.61,20.61,Normal.
0.96,6.89,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-19.69,26.07,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
36.58,82.17,"Extreme danger! High temperature, please stay indoor until sunset! "
8.79,32.26,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
37.12,65.96,"Extreme danger! High temperature, please stay indoor until sunset! "
16.63,11.73,Normal.
-12.39,52.44,"Too cold, please turn the heating on. "
-19.24,93.35,"Too cold, please turn the heating on. "
-16.61,46.86,"Too cold, please turn the heating on. "
-18.36,25.76,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-10.14,96.45,"Too cold, please turn the heating on. "
22.79,64.2,Normal.
-7.57,86.18,"Too cold, please turn the heating on. "
35.52,25.69,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
33.44,56.26,Extreme caution! High temperature. 
-16.59,58.58,"Too cold, please turn the heating on. "
35.59,47.48,"Danger! High temperature, please avoid outdoor activities. "
49.74,22.59,"Too dry, suggest use of moist lotion. Extreme danger! High temperature, please stay indoor until sunset! "
-9.67,88.03,"Too cold, please turn the heating on. "
27.76,31.17,Normal.
33.56,12.97,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-8.0,23.52,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-19.44,20.77,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-8.92,38.55,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.86,83.13,"Too cold, please turn the heating on. "
16.92,40.23,Normal.
18.68,50.01,Normal.
16.37,4.27,Normal.
28.35,25.07,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-3.75,90.62,"Too cold, please turn the heating on. "
-13.67,58.51,"Too cold, please turn the heating on. "
41.51,70.63,"Extreme danger! High temperature, please stay indoor until sunset! "
-1.44,49.24,"Too cold, please turn the heating on. "
21.15,97.59,Normal.
12.39,75.51,"Too cold, please wear more clothes and have a cup of hot drink! "
-10.45,79.08,"Too cold, please turn the heating on. "
39.48,94.76,"Extreme danger! High temperature, please stay indoor until sunset! "
11.94,53.83,"Too cold, please turn the heating on. "
46.76,4.62,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
35.4,76.81,"Extreme danger! High temperature, please stay indoor until sunset! "
26.07,14.32,Normal.
44.51,67.8,"Extreme danger! High temperature, please stay indoor until sunset! "
11.23,13.37,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
43.42,72.57,"Extreme danger! High temperature, please stay indoor until sunset! "
-2.0,53.41,"Too cold, please turn the heating on. "
-13.35,7.15,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-3.29,26.29,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-0.52,26.93,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
35.76,41.28,Extreme caution! High temperature. 
23.74,62.59,Normal.
1.87,57.27,"Too cold, please turn the heating on. "
24.64,84.59,Normal.
25.53,1.75,Normal.
6.57,18.76,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
5.99,73.44,"Too cold, please turn the heating on. "
41.87,71.7,"Extreme danger! High temperature, please stay indoor until sunset! "
17.24,22.3,Normal.
-17.04,19.19,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-1.94,78.41,"Too cold, please turn the heating on. "
39.69,97.25,"Extreme danger! High temperature, please stay indoor until sunset! "
-18.78,18.78,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
24.79,2.29,Normal.
17.75,61.69,Normal.
-17.68,44.99,"Too cold, please turn the heating on. "
8.12,77.38,"Too cold, please turn the heating on. "
-10.08,61.95,"Too cold, please turn the heating on. "
4.02,38.3,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-5.01,86.25,"Too cold, please turn the heating on. "
-2.13,53.85,"Too cold, please turn the heating on. "
28.87,44.75,Caution! High temperature. 
-10.04,25.92,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
12.6,14.78,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
11.72,13.48,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-9.49,55.35,"Too cold, please turn the heating on. "
17.55,54.77,Normal.
47.11,49.48,"Extreme danger! High temperature, please stay indoor until sunset! "
6.94,50.34,"Too cold, please turn the heating on. "
32.94,71.26,"Danger! High temperature, please avoid outdoor activities. "
8.57,22.52,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
8.14,23.58,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
4.54,45.63,"Too cold, please turn the heating on. "
-19.64,15.1,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
8.14,99.0,"Too cold, please turn the heating on. "
-4.19,7.85,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-16.94,62.8,"Too cold, please turn the heating on. "
20.44,70.67,Normal.
45.88,31.51,"Extreme danger! High temperature, please stay indoor until sunset! "
9.93,17.52,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-2.88,20.3,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
49.08,76.43,"Extreme danger! High temperature, please stay indoor until sunset! "
48.85,77.15,"Extreme danger! High temperature, please stay indoor until sunset! "
6.95,27.44,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
2.58,74.27,"Too cold, please turn the heating on. "
11.28,55.79,"Too cold, please turn the heating on. "
12.12,36.81,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
43.33,83.8,"Extreme danger! High temperature, please stay indoor until sunset! "
-3.98,14.35,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-4.49,83.83,"Too cold, please turn the heating on. "
-0.91,0.72,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
8.35,4.54,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
39.19,42.77,"Danger! High temperature, please avoid outdoor activities. "
13.05,30.95,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
48.28,77.79,"Extreme danger! High temperature, please stay indoor until sunset! "
23.39,41.46,Normal.
-19.39,62.2,"Too cold, please turn the heating on. "
-1.63,1.89,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-16.27,63.71,"Too cold, please turn the heating on. "
23.31,34.47,Normal.
4.04,85.12,"Too cold, please turn the heating on. "
33.49,36.83,Extreme caution! High temperature. 
19.53,76.96,Normal.
28.02,87.55,Extreme caution! High temperature. 
14.92,89.2,"Too cold, please wear more clothes and have a cup of hot drink! "
-0.52,60.24,"Too cold, please turn the heating on. "
5.96,58.99,"Too cold, please turn the heating on. "
-4.67,22.48,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
47.45,73.67,"Extreme danger! High temperature, please stay indoor until sunset! "
-18.48,24.52,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
6.43,57.34,"Too cold, please turn the heating on. "
6.96,3.51,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
20.63,2.16,Normal.
36.1,53.06,"Danger! High temperature, please avoid outdoor activities. "
27.29,2.85,"Too dry, suggest use of moist lotion. "
4.5,34.03,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
5.31,16.16,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
20.31,59.13,Normal.
24.18,24.13,Normal.
7.21,81.45,"Too cold, please turn the heating on. "
29.98,23.1,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-5.28,71.53,"Too cold, please turn the heating on. "
-9.75,39.23,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
16.11,78.86,Normal.
20.63,33.66,Normal.
17.92,12.48,Normal.
30.61,86.04,"Danger! High temperature, please avoid outdoor activities. "
46.36,39.58,"Extreme danger! High temperature, please stay indoor until sunset! "
-18.03,66.96,"Too cold, please turn the heating on. "
16.71,35.42,Normal.
-16.4,45.07,"Too cold, please turn the heating on. "
2.38,63.49,"Too cold, please turn the heating on. "
46.76,64.7,"Extreme danger! High temperature, please stay indoor until sunset! "
-1.3,4.47,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
0.86,44.09,"Too cold, please turn the heating on. "
34.46,65.69,"Danger! High temperature, please avoid outdoor activities. "
41.82,3.97,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-19.26,82.37,"Too cold, please turn the heating on. "
19.9,33.47,Normal.
0.6,67.52,"Too cold, please turn the heating on. "
28.12,2.99,"Too dry, suggest use of moist lotion. "
-6.65,53.12,"Too cold, please turn the heating on. "
34.41,4.32,"Too dry, suggest use of moist lotion. Caution! High temperature. "
8.39,78.5,"Too cold, please turn the heating on. "
45.51,5.02,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
25.38,7.25,Normal.
47.14,91.37,"Extreme danger! High temperature, please stay indoor until sunset! "
1.56,44.5,"Too cold, please turn the heating on. "
9.21,5.88,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
21.68,36.33,Normal.
47.1,16.85,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
-10.51,46.73,"Too cold, please turn the heating on. "
-16.11,27.66,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-4.61,37.19,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-13.3,26.5,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
38.26,41.8,"Danger! High temperature, please avoid outdoor activities. "
-19.95,63.81,"Too cold, please turn the heating on. "
28.82,11.75,"Too dry, suggest use of moist lotion. Caution! High temperature. "
20.26,6.42,Normal.
48.81,5.43,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
41.47,9.99,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-6.13,95.61,"Too cold, please turn the heating on. "
12.87,94.16,"Too cold, please wear more clothes and have a cup of hot drink! "
-0.9,94.19,"Too cold, please turn the heating on. "
-12.19,38.66,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-9.64,24.19,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
4.66,86.02,"Too cold, please turn the heating on. "
-7.92,52.57,"Too cold, please turn the heating on. "
-10.21,15.42,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
45.45,41.54,"Extreme danger! High temperature, please stay indoor until sunset! "
26.37,29.48,Normal.
31.87,48.93,Extreme caution! High temperature. 
29.08,90.14,Extreme caution! High temperature. 
39.66,67.12,"Extreme danger! High temperature, please stay indoor until sunset! "
25.56,71.48,Normal.
14.18,79.87,"Too cold, please wear more clothes and have a cup of hot drink! "
-10.63,2.68,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
49.9,88.11,"Extreme danger! High temperature, please stay indoor until sunset! "
40.02,7.39,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
46.56,57.63,"Extreme danger! High temperature, please stay indoor until sunset! "
-7.64,27.88,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-8.59,27.72,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-11.92,79.59,"Too cold, please turn the heating on. "
-17.78,32.02,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
11.52,49.77,"Too cold, please turn the heating on. "
2.26,44.86,"Too cold, please turn the heating on. "
11.64,75.85,"Too cold, please turn the heating on. "
21.07,99.76,Normal.
26.59,86.12,Normal.
27.48,80.85,Caution! High temperature. 
-1.93,12.5,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
0.32,48.64,"Too cold, please turn the heating on. "
-18.25,4.31,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
43.28,13.49,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
4.13,86.97,"Too cold, please turn the heating on. "
34.93,66.7,"Danger! High temperature, please avoid outdoor activities. "
31.83,24.25,"Too dry, suggest use of moist lotion. Caution! High temperature. "
32.9,48.38,Extreme caution! High temperature. 
48.26,74.72,"Extreme danger! High temperature, please stay indoor until sunset! "
-6.07,52.35,"Too cold, please turn the heating on. "
15.04,79.35,Normal.
25.89,96.55,Normal.
16.86,14.49,Normal.
-11.98,4.87,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-9.17,35.9,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
20.85,41.42,Normal.
46.68,83.77,"Extreme danger! High temperature, please stay indoor until sunset! "
38.03,0.37,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
45.86,17.42,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
-14.79,91.92,"Too cold, please turn the heating on. "
28.99,29.53,"Too dry, suggest use of moist lotion. Caution! High temperature. "
5.43,73.4,"Too cold, please turn the heating on. "
27.13,60.95,Caution! High temperature. 
-17.85,2.42,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
37.53,56.8,"Danger! High temperature, please avoid outdoor activities. "
-0.79,28.38,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
26.79,21.52,Normal.
43.05,46.15,"Extreme danger! High temperature, please stay indoor until sunset! "
32.76,91.91,"Danger! High temperature, please avoid outdoor activities. "
-0.81,81.27,"Too cold, please turn the heating on. "
12.0,41.43,"Too cold, please turn the heating on. "
-10.02,86.09,"Too cold, please turn the heating on. "
14.6,51.2,"Too cold, please wear more clothes and have a cup of hot drink! "
-5.19,37.97,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
44.35,55.77,"Extreme danger! High temperature, please stay indoor until sunset! "
-2.61,41.03,"Too cold, please turn the heating on. "
3.29,25.27,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
8.82,70.89,"Too cold, please turn the heating on. "
5.05,78.84,"Too cold, please turn the heating on. "
-19.32,93.14,"Too cold, please turn the heating on. "
45.58,92.86,"Extreme danger! High temperature, please stay indoor until sunset! "
-2.73,22.15,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
40.36,21.65,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
42.23,95.18,"Extreme danger! High temperature, please stay indoor until sunset! "
44.34,24.55,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
36.38,1.51,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
32.88,56.47,Extreme caution! High temperature. 
25.16,55.07,Normal.
44.81,47.34,"Extreme danger! High temperature, please stay indoor until sunset! "
32.54,66.43,Extreme caution! High temperature. 
21.3,2.62,Normal.
47.13,64.71,"Extreme danger! High temperature, please stay indoor until sunset! "
19.78,92.5,Normal.
-19.0,24.22,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
3.23,92.72,"Too cold, please turn the heating on. "
35.2,28.23,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-15.76,33.59,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
1.99,63.59,"Too cold, please turn the heating on. "
13.5,44.86,"Too cold, please wear more clothes and have a cup of hot drink! "
1.2,16.74,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
4.69,69.4,"Too cold, please turn the heating on. "
30.75,17.34,"Too dry, suggest use of moist lotion. Caution! High temperature. "
16.89,85.2,Normal.
7.46,12.81,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
19.32,27.33,Normal.
7.12,27.23,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-2.35,22.45,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
9.84,3.32,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
36.7,81.78,"Extreme danger! High temperature, please stay indoor until sunset! "
48.9,19.36,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
35.52,37.32,Extreme caution! High temperature. 
6.1,21.75,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
49.43,17.96,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
29.96,7.24,"Too dry, suggest use of moist lotion. Caution! High temperature. "
23.83,46.61,Normal.
21.05,45.14,Normal.
13.51,63.38,"Too cold, please wear more clothes and have a cup of hot drink! "
-17.16,34.61,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
35.9,14.73,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-17.55,48.46,"Too cold, please turn the heating on. "
1.76,98.44,"Too cold, please turn the heating on. "
-17.32,37.9,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
16.07,43.39,Normal.
29.71,18.13,"Too dry, suggest use of moist lotion. Caution! High temperature. "
11.39,15.08,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
38.91,3.98,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
35.18,14.54,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
19.87,82.12,Normal.
49.2,98.75,"Extreme danger! High temperature, please stay indoor until sunset! "
12.98,20.06,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
31.19,14.26,"Too dry, suggest use of moist lotion. Caution! High temperature. "
39.09,57.5,"Extreme danger! High temperature, please stay indoor until sunset! "
27.11,82.82,Caution! High temperature. 
