Temperature,Humidity,Comfort Level
34.71,6.0,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
12.55,94.51,"Too cold, please wear more clothes and have a cup of hot drink! "
-3.95,12.96,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
44.02,83.48,"Extreme danger! High temperature, please stay indoor until sunset! "
-6.32,12.24,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
33.81,45.2,Extreme caution! High temperature. 
-10.75,86.01,"Too cold, please turn the heating on. "
-11.0,73.14,"Too cold, please turn the heating on. "
26.19,75.27,Normal.
41.76,86.67,"Extreme danger! High temperature, please stay indoor until sunset! "
26.21,98.61,Normal.
-12.1,2.97,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
32.28,40.42,Extreme caution! High temperature. 
-9.47,84.27,"Too cold, please turn the heating on. "
42.35,64.4,"Extreme danger! High temperature, please stay indoor until sunset! "
39.27,51.39,"Danger! High temperature, please avoid outdoor activities. "
14.65,80.22,"Too cold, please wear more clothes and have a cup of hot drink! "
22.48,16.32,Normal.
20.83,66.16,Normal.
39.11,56.89,"Extreme danger! High temperature, please stay indoor until sunset! "
-7.09,41.27,"Too cold, please turn the heating on. "
-11.82,58.36,"Too cold, please turn the heating on. "
31.71,31.2,Caution! High temperature. 
29.08,90.56,Extreme caution! High temperature. 
45.19,90.75,"Extreme danger! High temperature, please stay indoor until sunset! "
-15.49,86.37,"Too cold, please turn the heating on. "
38.53,11.37,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
0.43,50.45,"Too cold, please turn the heating on. "
-2.14,5.97,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
20.94,66.32,Normal.
41.61,20.78,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
6.93,32.96,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-13.55,8.18,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.44,81.64,"Too cold, please turn the heating on. "
24.76,14.52,Normal.
5.25,35.54,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
45.65,6.81,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
37.54,13.7,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-18.89,22.81,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
7.77,83.23,"Too cold, please turn the heating on. "
20.78,63.13,Normal.
-6.68,33.46,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
45.63,42.73,"Extreme danger! High temperature, please stay indoor until sunset! "
-9.34,5.27,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.8,81.14,"Too cold, please turn the heating on. "
31.88,46.71,Extreme caution! High temperature. 
-13.81,41.92,"Too cold, please turn the heating on. "
31.96,88.41,"Danger! High temperature, please avoid outdoor activities. "
3.58,45.18,"Too cold, please turn the heating on. "
0.98,1.02,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
14.45,39.44,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
-9.45,41.91,"Too cold, please turn the heating on. "
27.17,23.98,"Too dry, suggest use of moist lotion. "
32.89,13.28,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-19.33,85.5,"Too cold, please turn the heating on. "
-3.46,1.37,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
27.33,83.14,Caution! High temperature. 
22.22,55.55,Normal.
-15.91,23.0,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
23.11,77.17,Normal.
