Temperature,Humidity,Comfort Level
18.01,5.41,Normal.
26.5,18.8,Normal.
0.7,58.29,"Too cold, please turn the heating on. "
-2.29,23.1,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-1.34,14.96,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
1.14,38.87,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
22.13,84.39,Normal.
40.03,15.65,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
5.16,45.49,"Too cold, please turn the heating on. "
3.5,86.71,"Too cold, please turn the heating on. "
11.67,8.11,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
4.29,30.27,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
39.3,16.89,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
32.83,28.58,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-3.18,38.51,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-1.75,91.31,"Too cold, please turn the heating on. "
25.2,12.92,Normal.
21.53,0.33,Normal.
-4.36,38.68,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-3.83,29.44,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
22.77,1.89,Normal.
46.52,46.5,"Extreme danger! High temperature, please stay indoor until sunset! "
31.23,26.54,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-11.63,37.87,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.59,55.56,"Too cold, please turn the heating on. "
-5.72,75.43,"Too cold, please turn the heating on. "
9.76,3.59,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
45.51,14.57,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
-7.75,89.14,"Too cold, please turn the heating on. "
22.63,65.56,Normal.
28.11,12.59,"Too dry, suggest use of moist lotion. "
0.98,82.78,"Too cold, please turn the heating on. "
28.34,70.74,Caution! High temperature. 
18.38,14.29,Normal.
18.55,9.3,Normal.
31.46,95.25,"Danger! High temperature, please avoid outdoor activities. "
43.36,43.46,"Extreme danger! High temperature, please stay indoor until sunset! "
